table_name,table_type,column_name,data_type,character_maximum_length,column_default,is_nullable,constraint_name,constraint_type,key_column,foreign_table_name,foreign_column_name
banners,BASE TABLE,id,bigint,null,unique_rowid(),NO,439_448_3_not_null,CHECK,null,null,null
banners,BASE TABLE,id,bigint,null,unique_rowid(),NO,439_448_2_not_null,CHECK,null,null,null
banners,BASE TABLE,id,bigint,null,unique_rowid(),NO,439_448_1_not_null,CHECK,null,null,null
banners,BASE TABLE,id,bigint,null,unique_rowid(),NO,banners_pkey,PRIMARY KEY,id,banners,id
banners,BASE TABLE,title,character varying,100,null,NO,banners_pkey,PRIMARY KEY,id,banners,id
banners,BASE TABLE,title,character varying,100,null,NO,439_448_3_not_null,CHECK,null,null,null
banners,BASE TABLE,title,character varying,100,null,NO,439_448_2_not_null,CHECK,null,null,null
banners,BASE TABLE,title,character varying,100,null,NO,439_448_1_not_null,CHECK,null,null,null
banners,BASE TABLE,image_url,character varying,255,null,NO,439_448_2_not_null,CHECK,null,null,null
banners,BASE TABLE,image_url,character varying,255,null,NO,439_448_1_not_null,CHECK,null,null,null
banners,BASE TABLE,image_url,character varying,255,null,NO,439_448_3_not_null,CHECK,null,null,null
banners,BASE TABLE,image_url,character varying,255,null,NO,banners_pkey,PRIMARY KEY,id,banners,id
banners,BASE TABLE,link,character varying,255,null,YES,banners_pkey,PRIMARY KEY,id,banners,id
banners,BASE TABLE,link,character varying,255,null,YES,439_448_3_not_null,CHECK,null,null,null
banners,BASE TABLE,link,character varying,255,null,YES,439_448_2_not_null,CHECK,null,null,null
banners,BASE TABLE,link,character varying,255,null,YES,439_448_1_not_null,CHECK,null,null,null
banners,BASE TABLE,created_at,timestamp without time zone,null,current_timestamp(),YES,banners_pkey,PRIMARY KEY,id,banners,id
banners,BASE TABLE,created_at,timestamp without time zone,null,current_timestamp(),YES,439_448_3_not_null,CHECK,null,null,null
banners,BASE TABLE,created_at,timestamp without time zone,null,current_timestamp(),YES,439_448_2_not_null,CHECK,null,null,null
banners,BASE TABLE,created_at,timestamp without time zone,null,current_timestamp(),YES,439_448_1_not_null,CHECK,null,null,null
